date,buy tesla_unscaled,buy tesla_monthly,isPartial,scale,buy tesla,elon musk_unscaled,elon musk_monthly,isPartial,scale,elon musk,model 3_unscaled,model 3_monthly,isPartial,scale,model 3,model y_unscaled,model y_monthly,isPartial,scale,model y,tsla stock_unscaled,tsla stock_monthly,isPartial,scale,tsla stock,tesla earnings_unscaled,tesla earnings_monthly,isPartial,scale,tesla earnings,car market_unscaled,car market_monthly,isPartial,scale,car market,electric vehicles_unscaled,electric vehicles_monthly,isPartial,scale,electric vehicles,environment_unscaled,environment_monthly,isPartial,scale,environment,elon musk fraud_unscaled,elon musk fraud_monthly,isPartial,scale,elon musk fraud,whistleblower_unscaled,whistleblower_monthly,isPartial,scale,whistleblower,union_unscaled,union_monthly,isPartial,scale,union,tesla debt_unscaled,tesla debt_monthly,isPartial,scale,tesla debt,subsidy_unscaled,subsidy_monthly,isPartial,scale,subsidy
2020-11-01,30,15.0,False,0.15,4.5,28,7.0,False,0.07,1.9600000000000002,91,53.0,False,0.53,48.230000000000004,75,40.0,False,0.4,30.0,4,36.0,False,0.36,1.44,0,3.0,False,0.03,0.0,61,37.0,False,0.37,22.57,57,35.0,False,0.35,19.95,42,75.0,False,0.75,31.5,0.0,0.0,False,0.0,0.0,21,8.0,False,0.08,1.68,60,68.0,False,0.68,40.800000000000004,0,17.0,False,0.17,0.0,39,71.0,False,0.71,27.689999999999998
2020-11-02,26,15.0,,0.15,3.9,42,7.0,,0.07,2.9400000000000004,86,53.0,,0.53,45.580000000000005,59,40.0,,0.4,23.6,36,36.0,,0.36,12.959999999999999,0,3.0,,0.03,0.0,85,37.0,,0.37,31.45,27,35.0,,0.35,9.45,93,75.0,,0.75,69.75,0.0,0.0,,0.0,0.0,18,8.0,,0.08,1.44,100,68.0,,0.68,68.0,0,17.0,,0.17,0.0,60,71.0,,0.71,42.599999999999994
2020-11-03,50,15.0,,0.15,7.5,27,7.0,,0.07,1.8900000000000001,89,53.0,,0.53,47.17,57,40.0,,0.4,22.8,32,36.0,,0.36,11.52,60,3.0,,0.03,1.7999999999999998,32,37.0,,0.37,11.84,42,35.0,,0.35,14.7,89,75.0,,0.75,66.75,0.0,0.0,,0.0,0.0,30,8.0,,0.08,2.4,87,68.0,,0.68,59.160000000000004,0,17.0,,0.17,0.0,71,71.0,,0.71,50.41
2020-11-04,19,15.0,,0.15,2.85,13,7.0,,0.07,0.9100000000000001,29,53.0,,0.53,15.370000000000001,39,40.0,,0.4,15.600000000000001,21,36.0,,0.36,7.56,12,3.0,,0.03,0.36,39,37.0,,0.37,14.43,10,35.0,,0.35,3.5,54,75.0,,0.75,40.5,0.0,0.0,,0.0,0.0,13,8.0,,0.08,1.04,51,68.0,,0.68,34.68,0,17.0,,0.17,0.0,55,71.0,,0.71,39.05
2020-11-05,27,15.0,,0.15,4.05,21,7.0,,0.07,1.4700000000000002,58,53.0,,0.53,30.740000000000002,48,40.0,,0.4,19.200000000000003,28,36.0,,0.36,10.08,14,3.0,,0.03,0.42,18,37.0,,0.37,6.66,60,35.0,,0.35,21.0,68,75.0,,0.75,51.0,0.0,0.0,,0.0,0.0,76,8.0,,0.08,6.08,62,68.0,,0.68,42.160000000000004,0,17.0,,0.17,0.0,37,71.0,,0.71,26.27
2020-11-06,46,15.0,,0.15,6.8999999999999995,29,7.0,,0.07,2.0300000000000002,62,53.0,,0.53,32.86,49,40.0,,0.4,19.6,23,36.0,,0.36,8.28,32,3.0,,0.03,0.96,36,37.0,,0.37,13.32,43,35.0,,0.35,15.049999999999999,63,75.0,,0.75,47.25,0.0,0.0,,0.0,0.0,65,8.0,,0.08,5.2,71,68.0,,0.68,48.28,0,17.0,,0.17,0.0,47,71.0,,0.71,33.37
2020-11-07,42,15.0,,0.15,6.3,33,7.0,,0.07,2.31,71,53.0,,0.53,37.63,65,40.0,,0.4,26.0,8,36.0,,0.36,2.88,0,3.0,,0.03,0.0,54,37.0,,0.37,19.98,35,35.0,,0.35,12.25,40,75.0,,0.75,30.0,0.0,0.0,,0.0,0.0,31,8.0,,0.08,2.48,62,68.0,,0.68,42.160000000000004,45,17.0,,0.17,7.65,12,71.0,,0.71,8.52
2020-11-08,47,32.0,False,0.32,15.040000000000001,32,9.0,False,0.09,2.88,66,62.0,False,0.62,40.92,62,52.0,False,0.52,32.24,5,44.0,False,0.44,2.2,21,5.0,False,0.05,1.05,41,50.0,False,0.5,20.5,45,42.0,False,0.42,18.9,48,91.0,False,0.91,43.68,0.0,47.0,False,0.47,0.0,45,12.0,False,0.12,5.3999999999999995,52,77.0,False,0.77,40.04,51,19.0,False,0.19,9.69,35,63.0,False,0.63,22.05
2020-11-09,19,32.0,,0.32,6.08,27,9.0,,0.09,2.4299999999999997,82,62.0,,0.62,50.839999999999996,83,52.0,,0.52,43.160000000000004,35,44.0,,0.44,15.4,0,5.0,,0.05,0.0,100,50.0,,0.5,50.0,26,42.0,,0.42,10.92,97,91.0,,0.91,88.27,0.0,47.0,,0.47,0.0,50,12.0,,0.12,6.0,86,77.0,,0.77,66.22,0,19.0,,0.19,0.0,63,63.0,,0.63,39.69
2020-11-10,75,32.0,,0.32,24.0,26,9.0,,0.09,2.34,76,62.0,,0.62,47.12,38,52.0,,0.52,19.76,41,44.0,,0.44,18.04,39,5.0,,0.05,1.9500000000000002,63,50.0,,0.5,31.5,26,42.0,,0.42,10.92,100,91.0,,0.91,91.0,0.0,47.0,,0.47,0.0,26,12.0,,0.12,3.12,85,77.0,,0.77,65.45,0,19.0,,0.19,0.0,82,63.0,,0.63,51.660000000000004
